Kode,Wilayah,Tipe,Tahun,IPM,PDRB_Triliun,Pertumbuhan_PDRB,Kemiskinan_Persen,Pengangguran_Persen,Penduduk_Ribu,NTP,Inflasi_Persen
7271,Kota Palu,Kota,2015,78.4,19.5,5.5,7.8,6.8,345.0,100.8,2.6
7271,Kota Palu,Kota,2016,78.82,20.57,5.49,7.68,6.67,348.4,100.7,2.8
7271,Kota Palu,Kota,2017,79.24,21.7,5.48,7.56,6.54,351.9,101.6,3.0
7271,Kota Palu,Kota,2018,79.66,22.9,5.51,7.44,6.41,355.5,101.5,2.6
7271,Kota Palu,Kota,2019,80.08,24.16,5.51,7.32,6.28,359.0,102.4,2.8
7271,Kota Palu,Kota,2020,80.3,23.96,-0.82,7.7,6.75,362.6,102.3,2.0
7271,Kota Palu,Kota,2021,80.92,26.08,8.86,7.08,6.02,366.2,103.2,2.6
7271,Kota Palu,Kota,2022,81.34,28.37,5.51,6.96,5.89,369.9,103.1,4.0
7271,Kota Palu,Kota,2023,81.76,29.93,5.51,6.84,5.76,373.6,104.0,3.0
7271,Kota Palu,Kota,2024,82.18,31.57,5.49,6.72,5.63,377.3,103.9,2.6
7271,Kota Palu,Kota,2025,82.6,33.31,5.5,6.6,5.5,381.1,104.8,2.8
7201,Kab. Banggai,Kabupaten,2015,67.8,16.2,6.5,9.5,4.1,340.0,106.3,2.6
7201,Kab. Banggai,Kabupaten,2016,68.2,17.25,6.48,9.29,4.01,342.7,106.2,2.8
7201,Kab. Banggai,Kabupaten,2017,68.6,18.37,6.47,9.08,3.92,345.5,107.1,3.0
7201,Kab. Banggai,Kabupaten,2018,69.0,19.57,6.51,8.87,3.83,348.2,107.0,2.6
7201,Kab. Banggai,Kabupaten,2019,69.4,20.84,6.5,8.66,3.74,351.0,107.9,2.8
7201,Kab. Banggai,Kabupaten,2020,69.6,20.86,0.09,8.95,4.25,353.8,107.8,2.0
7201,Kab. Banggai,Kabupaten,2021,70.2,22.93,9.9,8.24,3.56,356.6,108.7,2.6
7201,Kab. Banggai,Kabupaten,2022,70.6,25.17,6.48,8.03,3.47,359.5,108.6,4.0
7201,Kab. Banggai,Kabupaten,2023,71.0,26.81,6.5,7.82,3.38,362.4,109.5,3.0
7201,Kab. Banggai,Kabupaten,2024,71.4,28.55,6.49,7.61,3.29,365.3,109.4,2.6
7201,Kab. Banggai,Kabupaten,2025,71.8,30.41,6.5,7.4,3.2,368.2,110.3,2.8
7202,Kab. Banggai Kepulauan,Kabupaten,2015,62.5,3.8,4.2,15.6,3.6,115.0,103.3,2.6
7202,Kab. Banggai Kepulauan,Kabupaten,2016,62.93,3.96,4.21,15.37,3.53,115.8,103.2,2.8
7202,Kab. Banggai Kepulauan,Kabupaten,2017,63.36,4.13,4.3,15.14,3.46,116.6,104.1,3.0
7202,Kab. Banggai Kepulauan,Kabupaten,2018,63.79,4.3,4.22,14.91,3.39,117.4,104.0,2.6
7202,Kab. Banggai Kepulauan,Kabupaten,2019,64.22,4.48,4.21,14.68,3.32,118.3,104.9,2.8
7202,Kab. Banggai Kepulauan,Kabupaten,2020,64.45,4.39,-2.0,14.95,3.85,119.1,104.8,2.0
7202,Kab. Banggai Kepulauan,Kabupaten,2021,65.08,4.72,7.57,14.22,3.18,119.9,105.7,2.6
7202,Kab. Banggai Kepulauan,Kabupaten,2022,65.51,5.07,4.24,13.99,3.11,120.8,105.6,4.0
7202,Kab. Banggai Kepulauan,Kabupaten,2023,65.94,5.28,4.18,13.76,3.04,121.6,106.5,3.0
7202,Kab. Banggai Kepulauan,Kabupaten,2024,66.37,5.5,4.14,13.53,2.97,122.5,106.4,2.6
7202,Kab. Banggai Kepulauan,Kabupaten,2025,66.8,5.73,4.13,13.3,2.9,123.3,107.3,2.8
7203,Kab. Morowali,Kabupaten,2015,68.2,14.5,16.5,16.4,4.5,125.0,110.3,2.6
7203,Kab. Morowali,Kabupaten,2016,68.76,16.89,16.48,15.98,4.4,129.5,110.2,2.8
7203,Kab. Morowali,Kabupaten,2017,69.32,19.68,16.5,15.56,4.3,134.2,111.1,3.0
7203,Kab. Morowali,Kabupaten,2018,69.88,22.93,16.52,15.14,4.2,139.0,111.0,2.6
7203,Kab. Morowali,Kabupaten,2019,70.44,26.71,16.5,14.72,4.1,144.0,111.9,2.8
7203,Kab. Morowali,Kabupaten,2020,70.8,29.25,9.51,14.8,4.6,149.2,111.8,2.0
7203,Kab. Morowali,Kabupaten,2021,71.56,35.16,20.21,13.88,3.9,154.5,112.7,2.6
7203,Kab. Morowali,Kabupaten,2022,72.12,42.23,16.49,13.46,3.8,160.1,112.6,4.0
7203,Kab. Morowali,Kabupaten,2023,72.68,49.2,16.5,13.04,3.7,165.9,113.5,3.0
7203,Kab. Morowali,Kabupaten,2024,73.24,57.32,16.5,12.62,3.6,171.8,113.4,2.6
7203,Kab. Morowali,Kabupaten,2025,73.8,66.78,16.51,12.2,3.5,178.0,114.3,2.8
7204,Kab. Poso,Kabupaten,2015,68.5,9.2,4.5,17.8,3.8,235.0,107.8,2.6
7204,Kab. Poso,Kabupaten,2016,68.9,9.61,4.46,17.54,3.69,236.6,107.7,2.8
7204,Kab. Poso,Kabupaten,2017,69.3,10.05,4.54,17.28,3.58,238.3,108.6,3.0
7204,Kab. Poso,Kabupaten,2018,69.7,10.5,4.51,17.02,3.47,240.0,108.5,2.6
7204,Kab. Poso,Kabupaten,2019,70.1,10.97,4.49,16.76,3.36,241.6,109.4,2.8
7204,Kab. Poso,Kabupaten,2020,70.3,10.78,-1.74,17.0,3.85,243.3,109.3,2.0
7204,Kab. Poso,Kabupaten,2021,70.9,11.62,7.82,16.24,3.14,245.0,110.2,2.6
7204,Kab. Poso,Kabupaten,2022,71.3,12.52,4.5,15.98,3.03,246.8,110.1,4.0
7204,Kab. Poso,Kabupaten,2023,71.7,13.08,4.47,15.72,2.92,248.5,111.0,3.0
7204,Kab. Poso,Kabupaten,2024,72.1,13.67,4.48,15.46,2.81,250.2,110.9,2.6
7204,Kab. Poso,Kabupaten,2025,72.5,14.29,4.52,15.2,2.7,252.0,111.8,2.8
7205,Kab. Donggala,Kabupaten,2015,63.4,7.5,4.1,19.2,4.2,285.0,104.5,2.6
7205,Kab. Donggala,Kabupaten,2016,63.77,7.81,4.13,18.93,4.1,287.3,104.4,2.8
7205,Kab. Donggala,Kabupaten,2017,64.14,8.13,4.13,18.66,4.0,289.6,105.3,3.0
7205,Kab. Donggala,Kabupaten,2018,64.51,8.46,4.09,18.39,3.9,291.9,105.2,2.6
7205,Kab. Donggala,Kabupaten,2019,64.88,8.81,4.13,18.12,3.8,294.2,106.1,2.8
7205,Kab. Donggala,Kabupaten,2020,65.05,8.62,-2.13,18.35,4.3,296.6,106.0,2.0
7205,Kab. Donggala,Kabupaten,2021,65.62,9.26,7.44,17.58,3.6,299.0,106.9,2.6
7205,Kab. Donggala,Kabupaten,2022,65.99,9.94,4.14,17.31,3.5,301.3,106.8,4.0
7205,Kab. Donggala,Kabupaten,2023,66.36,10.34,4.06,17.04,3.4,303.8,107.7,3.0
7205,Kab. Donggala,Kabupaten,2024,66.73,10.77,4.12,16.77,3.3,306.2,107.6,2.6
7205,Kab. Donggala,Kabupaten,2025,67.1,11.21,4.11,16.5,3.2,308.6,108.5,2.8
7206,Kab. Tolitoli,Kabupaten,2015,63.8,6.8,4.3,15.2,3.9,215.0,106.1,2.6
7206,Kab. Tolitoli,Kabupaten,2016,64.16,7.09,4.26,14.97,3.81,216.5,106.0,2.8
7206,Kab. Tolitoli,Kabupaten,2017,64.52,7.4,4.34,14.74,3.72,218.0,106.9,3.0
7206,Kab. Tolitoli,Kabupaten,2018,64.88,7.72,4.36,14.51,3.63,219.5,106.8,2.6
7206,Kab. Tolitoli,Kabupaten,2019,65.24,8.05,4.34,14.28,3.54,221.1,107.7,2.8
7206,Kab. Tolitoli,Kabupaten,2020,65.4,7.89,-1.95,14.55,4.05,222.6,107.6,2.0
7206,Kab. Tolitoli,Kabupaten,2021,65.96,8.49,7.61,13.82,3.36,224.2,108.5,2.6
7206,Kab. Tolitoli,Kabupaten,2022,66.32,9.13,4.29,13.59,3.27,225.8,108.4,4.0
7206,Kab. Tolitoli,Kabupaten,2023,66.68,9.52,4.26,13.36,3.18,227.3,109.3,3.0
7206,Kab. Tolitoli,Kabupaten,2024,67.04,9.93,4.27,13.13,3.09,228.9,109.2,2.6
7206,Kab. Tolitoli,Kabupaten,2025,67.4,10.36,4.3,12.9,3.0,230.5,110.1,2.8
7207,Kab. Buol,Kabupaten,2015,65.2,4.1,4.0,16.5,4.0,140.0,105.3,2.6
7207,Kab. Buol,Kabupaten,2016,65.62,4.26,3.9,16.22,3.92,141.1,105.2,2.8
7207,Kab. Buol,Kabupaten,2017,66.04,4.43,3.89,15.94,3.84,142.2,106.1,3.0
