Kode,Wilayah,Tipe,Tahun,IPM,PDRB_Triliun,Pertumbuhan_PDRB,Kemiskinan_Persen,Pengangguran_Persen,Penduduk_Ribu,NTP,Inflasi_Persen,IPM_Lag1,IPM_Delta,Kemiskinan_Lag1,Kemiskinan_Delta,PDRB_Lag1,TPT_Lag1
7271,Kota Palu,Kota,2015,78.4,19.5,5.5,7.8,6.8,345.0,100.8,2.6,78.4,0.0,7.8,0.0,19.5,6.8
7271,Kota Palu,Kota,2016,78.82,20.57,5.49,7.68,6.67,348.4,100.7,2.8,78.4,0.42,7.8,-0.12,19.5,6.8
7271,Kota Palu,Kota,2017,79.24,21.7,5.48,7.56,6.54,351.9,101.6,3.0,78.82,0.42,7.68,-0.12,20.57,6.67
7271,Kota Palu,Kota,2018,79.66,22.9,5.51,7.44,6.41,355.5,101.5,2.6,79.24,0.42,7.56,-0.12,21.7,6.54
7271,Kota Palu,Kota,2019,80.08,24.16,5.51,7.32,6.28,359.0,102.4,2.8,79.66,0.42,7.44,-0.12,22.9,6.41
7271,Kota Palu,Kota,2020,80.3,23.96,-0.82,7.7,6.75,362.6,102.3,2.0,80.08,0.22,7.32,0.38,24.16,6.28
7271,Kota Palu,Kota,2021,80.92,26.08,8.86,7.08,6.02,366.2,103.2,2.6,80.3,0.62,7.7,-0.62,23.96,6.75
7271,Kota Palu,Kota,2022,81.34,28.37,5.51,6.96,5.89,369.9,103.1,4.0,80.92,0.42,7.08,-0.12,26.08,6.02
7271,Kota Palu,Kota,2023,81.76,29.93,5.51,6.84,5.76,373.6,104.0,3.0,81.34,0.42,6.96,-0.12,28.37,5.89
7271,Kota Palu,Kota,2024,82.18,31.57,5.49,6.72,5.63,377.3,103.9,2.6,81.76,0.42,6.84,-0.12,29.93,5.76
7271,Kota Palu,Kota,2025,82.6,33.31,5.5,6.6,5.5,381.1,104.8,2.8,82.18,0.42,6.72,-0.12,31.57,5.63
7201,Kab. Banggai,Kabupaten,2015,67.8,16.2,6.5,9.5,4.1,340.0,106.3,2.6,67.8,0.0,9.5,0.0,16.2,4.1
