Kode,Wilayah,Tahun,Inflasi_Persen
7271,Kota Palu,2015,2.6
7271,Kota Palu,2016,2.8
7271,Kota Palu,2017,3.0
7271,Kota Palu,2018,2.6
7271,Kota Palu,2019,2.8
7271,Kota Palu,2020,2.0
7271,Kota Palu,2021,2.6
7271,Kota Palu,2022,4.0
7271,Kota Palu,2023,3.0
7271,Kota Palu,2024,2.6
7271,Kota Palu,2025,2.8
7201,Kab. Banggai,2015,2.6
7201,Kab. Banggai,2016,2.8
7201,Kab. Banggai,2017,3.0
7201,Kab. Banggai,2018,2.6
7201,Kab. Banggai,2019,2.8
7201,Kab. Banggai,2020,2.0
7201,Kab. Banggai,2021,2.6
7201,Kab. Banggai,2022,4.0
7201,Kab. Banggai,2023,3.0
7201,Kab. Banggai,2024,2.6
7201,Kab. Banggai,2025,2.8
7202,Kab. Banggai Kepulauan,2015,2.6
7202,Kab. Banggai Kepulauan,2016,2.8
7202,Kab. Banggai Kepulauan,2017,3.0
7202,Kab. Banggai Kepulauan,2018,2.6
7202,Kab. Banggai Kepulauan,2019,2.8
7202,Kab. Banggai Kepulauan,2020,2.0
7202,Kab. Banggai Kepulauan,2021,2.6
7202,Kab. Banggai Kepulauan,2022,4.0
7202,Kab. Banggai Kepulauan,2023,3.0
7202,Kab. Banggai Kepulauan,2024,2.6
7202,Kab. Banggai Kepulauan,2025,2.8
7203,Kab. Morowali,2015,2.6
7203,Kab. Morowali,2016,2.8
7203,Kab. Morowali,2017,3.0
7203,Kab. Morowali,2018,2.6
7203,Kab. Morowali,2019,2.8
7203,Kab. Morowali,2020,2.0
7203,Kab. Morowali,2021,2.6
7203,Kab. Morowali,2022,4.0
7203,Kab. Morowali,2023,3.0
7203,Kab. Morowali,2024,2.6
7203,Kab. Morowali,2025,2.8
7204,Kab. Poso,2015,2.6
7204,Kab. Poso,2016,2.8
7204,Kab. Poso,2017,3.0
7204,Kab. Poso,2018,2.6
7204,Kab. Poso,2019,2.8
7204,Kab. Poso,2020,2.0
7204,Kab. Poso,2021,2.6
7204,Kab. Poso,2022,4.0
7204,Kab. Poso,2023,3.0
7204,Kab. Poso,2024,2.6
7204,Kab. Poso,2025,2.8
7205,Kab. Donggala,2015,2.6
7205,Kab. Donggala,2016,2.8
7205,Kab. Donggala,2017,3.0
7205,Kab. Donggala,2018,2.6
7205,Kab. Donggala,2019,2.8
7205,Kab. Donggala,2020,2.0
7205,Kab. Donggala,2021,2.6
7205,Kab. Donggala,2022,4.0
7205,Kab. Donggala,2023,3.0
7205,Kab. Donggala,2024,2.6
7205,Kab. Donggala,2025,2.8
7206,Kab. Tolitoli,2015,2.6
7206,Kab. Tolitoli,2016,2.8
7206,Kab. Tolitoli,2017,3.0
7206,Kab. Tolitoli,2018,2.6
7206,Kab. Tolitoli,2019,2.8
7206,Kab. Tolitoli,2020,2.0
7206,Kab. Tolitoli,2021,2.6
7206,Kab. Tolitoli,2022,4.0
7206,Kab. Tolitoli,2023,3.0
7206,Kab. Tolitoli,2024,2.6
7206,Kab. Tolitoli,2025,2.8
7207,Kab. Buol,2015,2.6
7207,Kab. Buol,2016,2.8
