Kode,Wilayah,Tahun,IPM
7271,Kota Palu,2015,78.4
7271,Kota Palu,2016,78.82
7271,Kota Palu,2017,79.24
7271,Kota Palu,2018,79.66
7271,Kota Palu,2019,80.08
7271,Kota Palu,2020,80.3
7271,Kota Palu,2021,80.92
7271,Kota Palu,2022,81.34
7271,Kota Palu,2023,81.76
7271,Kota Palu,2024,82.18
7271,Kota Palu,2025,82.6
7201,Kab. Banggai,2015,67.8
7201,Kab. Banggai,2016,68.2
7201,Kab. Banggai,2017,68.6
7201,Kab. Banggai,2018,69.0
7201,Kab. Banggai,2019,69.4
7201,Kab. Banggai,2020,69.6
7201,Kab. Banggai,2021,70.2
7201,Kab. Banggai,2022,70.6
7201,Kab. Banggai,2023,71.0
7201,Kab. Banggai,2024,71.4
7201,Kab. Banggai,2025,71.8
7202,Kab. Banggai Kepulauan,2015,62.5
7202,Kab. Banggai Kepulauan,2016,62.93
7202,Kab. Banggai Kepulauan,2017,63.36
7202,Kab. Banggai Kepulauan,2018,63.79
7202,Kab. Banggai Kepulauan,2019,64.22
7202,Kab. Banggai Kepulauan,2020,64.45
7202,Kab. Banggai Kepulauan,2021,65.08
7202,Kab. Banggai Kepulauan,2022,65.51
7202,Kab. Banggai Kepulauan,2023,65.94
7202,Kab. Banggai Kepulauan,2024,66.37
7202,Kab. Banggai Kepulauan,2025,66.8
7203,Kab. Morowali,2015,68.2
7203,Kab. Morowali,2016,68.76
7203,Kab. Morowali,2017,69.32
7203,Kab. Morowali,2018,69.88
7203,Kab. Morowali,2019,70.44
7203,Kab. Morowali,2020,70.8
7203,Kab. Morowali,2021,71.56
7203,Kab. Morowali,2022,72.12
7203,Kab. Morowali,2023,72.68
7203,Kab. Morowali,2024,73.24
7203,Kab. Morowali,2025,73.8
7204,Kab. Poso,2015,68.5
7204,Kab. Poso,2016,68.9
7204,Kab. Poso,2017,69.3
7204,Kab. Poso,2018,69.7
7204,Kab. Poso,2019,70.1
7204,Kab. Poso,2020,70.3
7204,Kab. Poso,2021,70.9
7204,Kab. Poso,2022,71.3
7204,Kab. Poso,2023,71.7
7204,Kab. Poso,2024,72.1
7204,Kab. Poso,2025,72.5
7205,Kab. Donggala,2015,63.4
7205,Kab. Donggala,2016,63.77
7205,Kab. Donggala,2017,64.14
7205,Kab. Donggala,2018,64.51
7205,Kab. Donggala,2019,64.88
7205,Kab. Donggala,2020,65.05
7205,Kab. Donggala,2021,65.62
7205,Kab. Donggala,2022,65.99
7205,Kab. Donggala,2023,66.36
7205,Kab. Donggala,2024,66.73
7205,Kab. Donggala,2025,67.1
7206,Kab. Tolitoli,2015,63.8
7206,Kab. Tolitoli,2016,64.16
7206,Kab. Tolitoli,2017,64.52
7206,Kab. Tolitoli,2018,64.88
7206,Kab. Tolitoli,2019,65.24
7206,Kab. Tolitoli,2020,65.4
7206,Kab. Tolitoli,2021,65.96
7206,Kab. Tolitoli,2022,66.32
7206,Kab. Tolitoli,2023,66.68
7206,Kab. Tolitoli,2024,67.04
