Kode,Wilayah,Tahun,Kemiskinan_Persen
7271,Kota Palu,2015,7.8
7271,Kota Palu,2016,7.68
7271,Kota Palu,2017,7.56
7271,Kota Palu,2018,7.44
7271,Kota Palu,2019,7.32
7271,Kota Palu,2020,7.7
7271,Kota Palu,2021,7.08
7271,Kota Palu,2022,6.96
7271,Kota Palu,2023,6.84
7271,Kota Palu,2024,6.72
7271,Kota Palu,2025,6.6
7201,Kab. Banggai,2015,9.5
7201,Kab. Banggai,2016,9.29
7201,Kab. Banggai,2017,9.08
7201,Kab. Banggai,2018,8.87
7201,Kab. Banggai,2019,8.66
7201,Kab. Banggai,2020,8.95
7201,Kab. Banggai,2021,8.24
7201,Kab. Banggai,2022,8.03
7201,Kab. Banggai,2023,7.82
7201,Kab. Banggai,2024,7.61
7201,Kab. Banggai,2025,7.4
7202,Kab. Banggai Kepulauan,2015,15.6
7202,Kab. Banggai Kepulauan,2016,15.37
7202,Kab. Banggai Kepulauan,2017,15.14
7202,Kab. Banggai Kepulauan,2018,14.91
7202,Kab. Banggai Kepulauan,2019,14.68
7202,Kab. Banggai Kepulauan,2020,14.95
7202,Kab. Banggai Kepulauan,2021,14.22
7202,Kab. Banggai Kepulauan,2022,13.99
7202,Kab. Banggai Kepulauan,2023,13.76
7202,Kab. Banggai Kepulauan,2024,13.53
7202,Kab. Banggai Kepulauan,2025,13.3
7203,Kab. Morowali,2015,16.4
7203,Kab. Morowali,2016,15.98
7203,Kab. Morowali,2017,15.56
7203,Kab. Morowali,2018,15.14
7203,Kab. Morowali,2019,14.72
7203,Kab. Morowali,2020,14.8
7203,Kab. Morowali,2021,13.88
7203,Kab. Morowali,2022,13.46
7203,Kab. Morowali,2023,13.04
7203,Kab. Morowali,2024,12.62
7203,Kab. Morowali,2025,12.2
7204,Kab. Poso,2015,17.8
7204,Kab. Poso,2016,17.54
7204,Kab. Poso,2017,17.28
7204,Kab. Poso,2018,17.02
7204,Kab. Poso,2019,16.76
7204,Kab. Poso,2020,17.0
7204,Kab. Poso,2021,16.24
7204,Kab. Poso,2022,15.98
7204,Kab. Poso,2023,15.72
7204,Kab. Poso,2024,15.46
7204,Kab. Poso,2025,15.2
7205,Kab. Donggala,2015,19.2
7205,Kab. Donggala,2016,18.93
7205,Kab. Donggala,2017,18.66
7205,Kab. Donggala,2018,18.39
7205,Kab. Donggala,2019,18.12
7205,Kab. Donggala,2020,18.35
7205,Kab. Donggala,2021,17.58
7205,Kab. Donggala,2022,17.31
7205,Kab. Donggala,2023,17.04
7205,Kab. Donggala,2024,16.77
7205,Kab. Donggala,2025,16.5
7206,Kab. Tolitoli,2015,15.2
7206,Kab. Tolitoli,2016,14.97
7206,Kab. Tolitoli,2017,14.74
7206,Kab. Tolitoli,2018,14.51
7206,Kab. Tolitoli,2019,14.28
7206,Kab. Tolitoli,2020,14.55
7206,Kab. Tolitoli,2021,13.82
7206,Kab. Tolitoli,2022,13.59
7206,Kab. Tolitoli,2023,13.36
7206,Kab. Tolitoli,2024,13.13
7206,Kab. Tolitoli,2025,12.9
7207,Kab. Buol,2015,16.5
7207,Kab. Buol,2016,16.22
7207,Kab. Buol,2017,15.94
7207,Kab. Buol,2018,15.66
