Kode,Wilayah,Tahun,NTP
7271,Kota Palu,2015,100.8
7271,Kota Palu,2016,100.7
7271,Kota Palu,2017,101.6
7271,Kota Palu,2018,101.5
7271,Kota Palu,2019,102.4
7271,Kota Palu,2020,102.3
7271,Kota Palu,2021,103.2
7271,Kota Palu,2022,103.1
7271,Kota Palu,2023,104.0
7271,Kota Palu,2024,103.9
7271,Kota Palu,2025,104.8
7201,Kab. Banggai,2015,106.3
7201,Kab. Banggai,2016,106.2
7201,Kab. Banggai,2017,107.1
7201,Kab. Banggai,2018,107.0
7201,Kab. Banggai,2019,107.9
7201,Kab. Banggai,2020,107.8
7201,Kab. Banggai,2021,108.7
7201,Kab. Banggai,2022,108.6
7201,Kab. Banggai,2023,109.5
7201,Kab. Banggai,2024,109.4
7201,Kab. Banggai,2025,110.3
7202,Kab. Banggai Kepulauan,2015,103.3
7202,Kab. Banggai Kepulauan,2016,103.2
7202,Kab. Banggai Kepulauan,2017,104.1
7202,Kab. Banggai Kepulauan,2018,104.0
7202,Kab. Banggai Kepulauan,2019,104.9
7202,Kab. Banggai Kepulauan,2020,104.8
7202,Kab. Banggai Kepulauan,2021,105.7
7202,Kab. Banggai Kepulauan,2022,105.6
7202,Kab. Banggai Kepulauan,2023,106.5
7202,Kab. Banggai Kepulauan,2024,106.4
7202,Kab. Banggai Kepulauan,2025,107.3
7203,Kab. Morowali,2015,110.3
7203,Kab. Morowali,2016,110.2
7203,Kab. Morowali,2017,111.1
7203,Kab. Morowali,2018,111.0
7203,Kab. Morowali,2019,111.9
7203,Kab. Morowali,2020,111.8
7203,Kab. Morowali,2021,112.7
7203,Kab. Morowali,2022,112.6
7203,Kab. Morowali,2023,113.5
7203,Kab. Morowali,2024,113.4
7203,Kab. Morowali,2025,114.3
7204,Kab. Poso,2015,107.8
7204,Kab. Poso,2016,107.7
7204,Kab. Poso,2017,108.6
7204,Kab. Poso,2018,108.5
7204,Kab. Poso,2019,109.4
7204,Kab. Poso,2020,109.3
7204,Kab. Poso,2021,110.2
7204,Kab. Poso,2022,110.1
7204,Kab. Poso,2023,111.0
7204,Kab. Poso,2024,110.9
