Kode,Wilayah,Tahun,PDRB_Triliun
7271,Kota Palu,2015,19.5
7271,Kota Palu,2016,20.57
7271,Kota Palu,2017,21.7
7271,Kota Palu,2018,22.9
7271,Kota Palu,2019,24.16
7271,Kota Palu,2020,23.96
7271,Kota Palu,2021,26.08
7271,Kota Palu,2022,28.37
7271,Kota Palu,2023,29.93
7271,Kota Palu,2024,31.57
7271,Kota Palu,2025,33.31
7201,Kab. Banggai,2015,16.2
7201,Kab. Banggai,2016,17.25
7201,Kab. Banggai,2017,18.37
7201,Kab. Banggai,2018,19.57
7201,Kab. Banggai,2019,20.84
7201,Kab. Banggai,2020,20.86
7201,Kab. Banggai,2021,22.93
7201,Kab. Banggai,2022,25.17
7201,Kab. Banggai,2023,26.81
7201,Kab. Banggai,2024,28.55
7201,Kab. Banggai,2025,30.41
7202,Kab. Banggai Kepulauan,2015,3.8
7202,Kab. Banggai Kepulauan,2016,3.96
7202,Kab. Banggai Kepulauan,2017,4.13
7202,Kab. Banggai Kepulauan,2018,4.3
7202,Kab. Banggai Kepulauan,2019,4.48
7202,Kab. Banggai Kepulauan,2020,4.39
7202,Kab. Banggai Kepulauan,2021,4.72
7202,Kab. Banggai Kepulauan,2022,5.07
7202,Kab. Banggai Kepulauan,2023,5.28
7202,Kab. Banggai Kepulauan,2024,5.5
7202,Kab. Banggai Kepulauan,2025,5.73
7203,Kab. Morowali,2015,14.5
7203,Kab. Morowali,2016,16.89
7203,Kab. Morowali,2017,19.68
7203,Kab. Morowali,2018,22.93
7203,Kab. Morowali,2019,26.71
7203,Kab. Morowali,2020,29.25
7203,Kab. Morowali,2021,35.16
7203,Kab. Morowali,2022,42.23
7203,Kab. Morowali,2023,49.2
7203,Kab. Morowali,2024,57.32
7203,Kab. Morowali,2025,66.78
7204,Kab. Poso,2015,9.2
7204,Kab. Poso,2016,9.61
7204,Kab. Poso,2017,10.05
7204,Kab. Poso,2018,10.5
7204,Kab. Poso,2019,10.97
7204,Kab. Poso,2020,10.78
7204,Kab. Poso,2021,11.62
7204,Kab. Poso,2022,12.52
7204,Kab. Poso,2023,13.08
7204,Kab. Poso,2024,13.67
7204,Kab. Poso,2025,14.29
7205,Kab. Donggala,2015,7.5
7205,Kab. Donggala,2016,7.81
7205,Kab. Donggala,2017,8.13
7205,Kab. Donggala,2018,8.46
7205,Kab. Donggala,2019,8.81
7205,Kab. Donggala,2020,8.62
7205,Kab. Donggala,2021,9.26
7205,Kab. Donggala,2022,9.94
7205,Kab. Donggala,2023,10.34
7205,Kab. Donggala,2024,10.77
7205,Kab. Donggala,2025,11.21
7206,Kab. Tolitoli,2015,6.8
7206,Kab. Tolitoli,2016,7.09
7206,Kab. Tolitoli,2017,7.4
7206,Kab. Tolitoli,2018,7.72
7206,Kab. Tolitoli,2019,8.05
7206,Kab. Tolitoli,2020,7.89
7206,Kab. Tolitoli,2021,8.49
7206,Kab. Tolitoli,2022,9.13
7206,Kab. Tolitoli,2023,9.52
7206,Kab. Tolitoli,2024,9.93
7206,Kab. Tolitoli,2025,10.36
7207,Kab. Buol,2015,4.1
7207,Kab. Buol,2016,4.26
7207,Kab. Buol,2017,4.43
7207,Kab. Buol,2018,4.61
7207,Kab. Buol,2019,4.8
7207,Kab. Buol,2020,4.69
7207,Kab. Buol,2021,5.03
7207,Kab. Buol,2022,5.4
7207,Kab. Buol,2023,5.61
7207,Kab. Buol,2024,5.84
7207,Kab. Buol,2025,6.07
7208,Kab. Parigi Moutong,2015,11.5
7208,Kab. Parigi Moutong,2016,12.05
7208,Kab. Parigi Moutong,2017,12.63
7208,Kab. Parigi Moutong,2018,13.24
7208,Kab. Parigi Moutong,2019,13.87
7208,Kab. Parigi Moutong,2020,13.67
7208,Kab. Parigi Moutong,2021,14.78
7208,Kab. Parigi Moutong,2022,15.97
7208,Kab. Parigi Moutong,2023,16.73
7208,Kab. Parigi Moutong,2024,17.54
7208,Kab. Parigi Moutong,2025,18.38
7209,Kab. Tojo Una-Una,2015,4.8
7209,Kab. Tojo Una-Una,2016,5.0
7209,Kab. Tojo Una-Una,2017,5.21
7209,Kab. Tojo Una-Una,2018,5.43
7209,Kab. Tojo Una-Una,2019,5.66
7209,Kab. Tojo Una-Una,2020,5.54
7209,Kab. Tojo Una-Una,2021,5.96
7209,Kab. Tojo Una-Una,2022,6.4
7209,Kab. Tojo Una-Una,2023,6.67
7209,Kab. Tojo Una-Una,2024,6.95
7209,Kab. Tojo Una-Una,2025,7.24
7210,Kab. Sigi,2015,6.2
7210,Kab. Sigi,2016,6.5
7210,Kab. Sigi,2017,6.82
7210,Kab. Sigi,2018,7.16
7210,Kab. Sigi,2019,7.51
