Kode,Wilayah,Tahun,Penduduk_Ribu
7271,Kota Palu,2015,345.0
7271,Kota Palu,2016,348.4
7271,Kota Palu,2017,351.9
7271,Kota Palu,2018,355.5
7271,Kota Palu,2019,359.0
7271,Kota Palu,2020,362.6
7271,Kota Palu,2021,366.2
7271,Kota Palu,2022,369.9
7271,Kota Palu,2023,373.6
7271,Kota Palu,2024,377.3
7271,Kota Palu,2025,381.1
7201,Kab. Banggai,2015,340.0
7201,Kab. Banggai,2016,342.7
7201,Kab. Banggai,2017,345.5
7201,Kab. Banggai,2018,348.2
7201,Kab. Banggai,2019,351.0
7201,Kab. Banggai,2020,353.8
7201,Kab. Banggai,2021,356.6
7201,Kab. Banggai,2022,359.5
7201,Kab. Banggai,2023,362.4
7201,Kab. Banggai,2024,365.3
7201,Kab. Banggai,2025,368.2
7202,Kab. Banggai Kepulauan,2015,115.0
7202,Kab. Banggai Kepulauan,2016,115.8
7202,Kab. Banggai Kepulauan,2017,116.6
7202,Kab. Banggai Kepulauan,2018,117.4
7202,Kab. Banggai Kepulauan,2019,118.3
7202,Kab. Banggai Kepulauan,2020,119.1
7202,Kab. Banggai Kepulauan,2021,119.9
7202,Kab. Banggai Kepulauan,2022,120.8
7202,Kab. Banggai Kepulauan,2023,121.6
7202,Kab. Banggai Kepulauan,2024,122.5
7202,Kab. Banggai Kepulauan,2025,123.3
7203,Kab. Morowali,2015,125.0
7203,Kab. Morowali,2016,129.5
7203,Kab. Morowali,2017,134.2
7203,Kab. Morowali,2018,139.0
7203,Kab. Morowali,2019,144.0
7203,Kab. Morowali,2020,149.2
7203,Kab. Morowali,2021,154.5
7203,Kab. Morowali,2022,160.1
7203,Kab. Morowali,2023,165.9
7203,Kab. Morowali,2024,171.8
7203,Kab. Morowali,2025,178.0
7204,Kab. Poso,2015,235.0
7204,Kab. Poso,2016,236.6
7204,Kab. Poso,2017,238.3
7204,Kab. Poso,2018,240.0
7204,Kab. Poso,2019,241.6
7204,Kab. Poso,2020,243.3
7204,Kab. Poso,2021,245.0
7204,Kab. Poso,2022,246.8
7204,Kab. Poso,2023,248.5
7204,Kab. Poso,2024,250.2
7204,Kab. Poso,2025,252.0
7205,Kab. Donggala,2015,285.0
7205,Kab. Donggala,2016,287.3
7205,Kab. Donggala,2017,289.6
7205,Kab. Donggala,2018,291.9
7205,Kab. Donggala,2019,294.2
7205,Kab. Donggala,2020,296.6
7205,Kab. Donggala,2021,299.0
7205,Kab. Donggala,2022,301.3
7205,Kab. Donggala,2023,303.8
7205,Kab. Donggala,2024,306.2
7205,Kab. Donggala,2025,308.6
7206,Kab. Tolitoli,2015,215.0
7206,Kab. Tolitoli,2016,216.5
7206,Kab. Tolitoli,2017,218.0
7206,Kab. Tolitoli,2018,219.5
7206,Kab. Tolitoli,2019,221.1
