Kode,Wilayah,Tahun,Pengangguran_Persen
7271,Kota Palu,2015,6.8
7271,Kota Palu,2016,6.67
7271,Kota Palu,2017,6.54
7271,Kota Palu,2018,6.41
7271,Kota Palu,2019,6.28
7271,Kota Palu,2020,6.75
7271,Kota Palu,2021,6.02
7271,Kota Palu,2022,5.89
7271,Kota Palu,2023,5.76
7271,Kota Palu,2024,5.63
7271,Kota Palu,2025,5.5
7201,Kab. Banggai,2015,4.1
7201,Kab. Banggai,2016,4.01
7201,Kab. Banggai,2017,3.92
7201,Kab. Banggai,2018,3.83
7201,Kab. Banggai,2019,3.74
7201,Kab. Banggai,2020,4.25
7201,Kab. Banggai,2021,3.56
7201,Kab. Banggai,2022,3.47
7201,Kab. Banggai,2023,3.38
7201,Kab. Banggai,2024,3.29
7201,Kab. Banggai,2025,3.2
7202,Kab. Banggai Kepulauan,2015,3.6
7202,Kab. Banggai Kepulauan,2016,3.53
7202,Kab. Banggai Kepulauan,2017,3.46
7202,Kab. Banggai Kepulauan,2018,3.39
7202,Kab. Banggai Kepulauan,2019,3.32
7202,Kab. Banggai Kepulauan,2020,3.85
7202,Kab. Banggai Kepulauan,2021,3.18
7202,Kab. Banggai Kepulauan,2022,3.11
7202,Kab. Banggai Kepulauan,2023,3.04
7202,Kab. Banggai Kepulauan,2024,2.97
7202,Kab. Banggai Kepulauan,2025,2.9
7203,Kab. Morowali,2015,4.5
7203,Kab. Morowali,2016,4.4
7203,Kab. Morowali,2017,4.3
7203,Kab. Morowali,2018,4.2
7203,Kab. Morowali,2019,4.1
7203,Kab. Morowali,2020,4.6
7203,Kab. Morowali,2021,3.9
7203,Kab. Morowali,2022,3.8
7203,Kab. Morowali,2023,3.7
7203,Kab. Morowali,2024,3.6
7203,Kab. Morowali,2025,3.5
7204,Kab. Poso,2015,3.8
7204,Kab. Poso,2016,3.69
7204,Kab. Poso,2017,3.58
7204,Kab. Poso,2018,3.47
7204,Kab. Poso,2019,3.36
7204,Kab. Poso,2020,3.85
7204,Kab. Poso,2021,3.14
7204,Kab. Poso,2022,3.03
7204,Kab. Poso,2023,2.92
7204,Kab. Poso,2024,2.81
7204,Kab. Poso,2025,2.7
7205,Kab. Donggala,2015,4.2
7205,Kab. Donggala,2016,4.1
7205,Kab. Donggala,2017,4.0
7205,Kab. Donggala,2018,3.9
7205,Kab. Donggala,2019,3.8
7205,Kab. Donggala,2020,4.3
7205,Kab. Donggala,2021,3.6
7205,Kab. Donggala,2022,3.5
7205,Kab. Donggala,2023,3.4
7205,Kab. Donggala,2024,3.3
7205,Kab. Donggala,2025,3.2
7206,Kab. Tolitoli,2015,3.9
7206,Kab. Tolitoli,2016,3.81
7206,Kab. Tolitoli,2017,3.72
7206,Kab. Tolitoli,2018,3.63
7206,Kab. Tolitoli,2019,3.54
7206,Kab. Tolitoli,2020,4.05
7206,Kab. Tolitoli,2021,3.36
7206,Kab. Tolitoli,2022,3.27
7206,Kab. Tolitoli,2023,3.18
7206,Kab. Tolitoli,2024,3.09
7206,Kab. Tolitoli,2025,3.0
7207,Kab. Buol,2015,4.0
7207,Kab. Buol,2016,3.92
7207,Kab. Buol,2017,3.84
7207,Kab. Buol,2018,3.76
7207,Kab. Buol,2019,3.68
7207,Kab. Buol,2020,4.2
7207,Kab. Buol,2021,3.52
7207,Kab. Buol,2022,3.44
7207,Kab. Buol,2023,3.36
7207,Kab. Buol,2024,3.28
7207,Kab. Buol,2025,3.2
7208,Kab. Parigi Moutong,2015,3.4
7208,Kab. Parigi Moutong,2016,3.31
7208,Kab. Parigi Moutong,2017,3.22
7208,Kab. Parigi Moutong,2018,3.13
7208,Kab. Parigi Moutong,2019,3.04
7208,Kab. Parigi Moutong,2020,3.55
7208,Kab. Parigi Moutong,2021,2.86
7208,Kab. Parigi Moutong,2022,2.77
7208,Kab. Parigi Moutong,2023,2.68
7208,Kab. Parigi Moutong,2024,2.59
7208,Kab. Parigi Moutong,2025,2.5
7209,Kab. Tojo Una-Una,2015,3.6
7209,Kab. Tojo Una-Una,2016,3.51
7209,Kab. Tojo Una-Una,2017,3.42
7209,Kab. Tojo Una-Una,2018,3.33
7209,Kab. Tojo Una-Una,2019,3.24
7209,Kab. Tojo Una-Una,2020,3.75
7209,Kab. Tojo Una-Una,2021,3.06
7209,Kab. Tojo Una-Una,2022,2.97
7209,Kab. Tojo Una-Una,2023,2.88
7209,Kab. Tojo Una-Una,2024,2.79
7209,Kab. Tojo Una-Una,2025,2.7
7210,Kab. Sigi,2015,3.5
7210,Kab. Sigi,2016,3.4
7210,Kab. Sigi,2017,3.3
7210,Kab. Sigi,2018,3.2
7210,Kab. Sigi,2019,3.1
7210,Kab. Sigi,2020,3.6
7210,Kab. Sigi,2021,2.9
7210,Kab. Sigi,2022,2.8
7210,Kab. Sigi,2023,2.7
7210,Kab. Sigi,2024,2.6
7210,Kab. Sigi,2025,2.5
7211,Kab. Banggai Laut,2015,3.1
7211,Kab. Banggai Laut,2016,3.02
7211,Kab. Banggai Laut,2017,2.94
7211,Kab. Banggai Laut,2018,2.86
7211,Kab. Banggai Laut,2019,2.78
7211,Kab. Banggai Laut,2020,3.3
7211,Kab. Banggai Laut,2021,2.62
7211,Kab. Banggai Laut,2022,2.54
7211,Kab. Banggai Laut,2023,2.46
7211,Kab. Banggai Laut,2024,2.38
7211,Kab. Banggai Laut,2025,2.3
7212,Kab. Morowali Utara,2015,3.7
7212,Kab. Morowali Utara,2016,3.61
7212,Kab. Morowali Utara,2017,3.52
7212,Kab. Morowali Utara,2018,3.43
7212,Kab. Morowali Utara,2019,3.34
7212,Kab. Morowali Utara,2020,3.85
7212,Kab. Morowali Utara,2021,3.16
7212,Kab. Morowali Utara,2022,3.07
7212,Kab. Morowali Utara,2023,2.98
7212,Kab. Morowali Utara,2024,2.89
7212,Kab. Morowali Utara,2025,2.8
